id#title#description#characteristics#producer_id#supplier_id
1#dapibus gravida. Aliquam#in faucibus orci luctus et ultrices posuere cubilia Curae Donec#{ "display": "14", "processor": "A16 Bionic", "storage": "512" }#18#5
2#lobortis, nisi nibh#Integer sem elit, pharetra ut, pharetra sed, hendrerit a, arcu.#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#31#3
3#mauris a nunc.#bibendum sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum,#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#26#17
4#in faucibus orci#Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed#{ "display": "14", "processor": "A16 Bionic", "storage": "512" }#8#13
5#mauris ipsum porta#felis eget varius ultrices, mauris ipsum porta elit, a feugiat#{ "display": "6.1", "processor": "A16 Bionic", "storage": "256" }#6#41
6#vulputate mauris sagittis#Donec est mauris, rhoncus id, mollis nec, cursus a, enim.#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#32#12
7#aliquet diam. Sed#et risus. Quisque libero lacus, varius et, euismod et, commodo#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#48#37
8#nulla ante, iaculis#augue porttitor interdum. Sed auctor odio a purus. Duis elementum,#{ "display": "13", "processor": "A16 Bionic", "storage": "512" }#37#29
9#eu tellus eu#sit amet ornare lectus justo eu arcu. Morbi sit amet#{ "display": "13", "processor": "A16 Bionic", "storage": "512" }#3#7
10#blandit. Nam nulla#feugiat nec, diam. Duis mi enim, condimentum eget, volutpat ornare,#{ "display": "13", "processor": "A16 Bionic", "storage": "512" }#22#20
11#consectetuer ipsum nunc#per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare.#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#22#46
12#posuere vulputate, lacus.#sem. Pellentesque ut ipsum ac mi eleifend egestas. Sed pharetra,#{ "display": "14", "processor": "A16 Bionic", "storage": "512" }#45#9
13#ut, pellentesque eget,#In condimentum. Donec at arcu. Vestibulum ante ipsum primis in#{ "display": "13", "processor": "A16 Bionic", "storage": "512" }#7#44
14#Nulla aliquet. Proin#luctus aliquet odio. Etiam ligula tortor, dictum eu, placerat eget,#{ "display": "13", "processor": "A16 Bionic", "storage": "512" }#49#4
15#auctor. Mauris vel#luctus aliquet odio. Etiam ligula tortor, dictum eu, placerat eget,#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#40#44
16#enim. Curabitur massa.#adipiscing non, luctus sit amet, faucibus ut, nulla. Cras eu#{ "display": "6.1", "processor": "A16 Bionic", "storage": "512" }#16#49
17#lorem tristique aliquet.#Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#32#35
18#malesuada augue ut#leo elementum sem, vitae aliquam eros turpis non enim. Mauris#{ "display": "14", "processor": "A16 Bionic", "storage": "512" }#36#12
19#a, arcu. Sed#dolor elit, pellentesque a, facilisis non, bibendum sed, est. Nunc#{ "display": "14", "processor": "A16 Bionic", "storage": "512" }#37#3
20#enim diam vel#at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus sit#{ "display": "6.1", "processor": "A16 Bionic", "storage": "256" }#42#18
21#aliquam eu, accumsan#laoreet posuere, enim nisl elementum purus, accumsan interdum libero dui#{ "display": "6.1", "processor": "A16 Bionic", "storage": "512" }#20#24
22#congue turpis. In#purus. Nullam scelerisque neque sed sem egestas blandit. Nam nulla#{ "display": "6.1", "processor": "A16 Bionic", "storage": "512" }#48#45
23#sem, consequat nec,#dis parturient montes, nascetur ridiculus mus. Donec dignissim magna a#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#29#22
24#magna. Lorem ipsum#ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula et,#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#6#39
25#dui, semper et,#taciti sociosqu ad litora torquent per conubia nostra, per inceptos#{ "display": "6.1", "processor": "A16 Bionic", "storage": "512" }#29#43
26#at auctor ullamcorper,#aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus, in#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#2#38
27#tincidunt dui augue#scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada#{ "display": "14", "processor": "A16 Bionic", "storage": "256" }#9#21
28#vulputate ullamcorper magna.#erat neque non quam. Pellentesque habitant morbi tristique senectus et#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#27#21
29#pellentesque. Sed dictum.#diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec,#{ "display": "14", "processor": "A16 Bionic", "storage": "512" }#42#50
30#Aliquam gravida mauris#posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse#{ "display": "13", "processor": "A16 Bionic", "storage": "512" }#18#12
31#Nunc mauris. Morbi#magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem#{ "display": "14", "processor": "A16 Bionic", "storage": "512" }#11#6
32#ac orci. Ut#aliquet, sem ut cursus luctus, ipsum leo elementum sem, vitae#{ "display": "13", "processor": "A16 Bionic", "storage": "512" }#18#49
33#odio. Nam interdum#pharetra. Quisque ac libero nec ligula consectetuer rhoncus. Nullam velit#{ "display": "14", "processor": "A16 Bionic", "storage": "512" }#36#4
34#nibh. Aliquam ornare,#pede. Cum sociis natoque penatibus et magnis dis parturient montes,#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#37#30
35#tincidunt tempus risus.#mauris. Integer sem elit, pharetra ut, pharetra sed, hendrerit a,#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#48#45
36#orci tincidunt adipiscing.#ipsum non arcu. Vivamus sit amet risus. Donec egestas. Aliquam#{ "display": "13", "processor": "A16 Bionic", "storage": "512" }#49#14
37#metus vitae velit#sem mollis dui, in sodales elit erat vitae risus. Duis#{ "display": "14", "processor": "A16 Bionic", "storage": "256" }#33#48
38#elit elit fermentum#lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam.#{ "display": "14", "processor": "A16 Bionic", "storage": "256" }#38#3
39#Suspendisse aliquet, sem#sit amet nulla. Donec non justo. Proin non massa non#{ "display": "14", "processor": "A16 Bionic", "storage": "512" }#45#17
40#Quisque porttitor eros#ac mattis velit justo nec ante. Maecenas mi felis, adipiscing#{ "display": "6.1", "processor": "A16 Bionic", "storage": "256" }#19#44
41#sagittis. Nullam vitae#arcu. Sed et libero. Proin mi. Aliquam gravida mauris ut#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#5#36
42#Donec est mauris,#Donec non justo. Proin non massa non ante bibendum ullamcorper.#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#47#35
43#feugiat placerat velit.#ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et#{ "display": "14", "processor": "A16 Bionic", "storage": "512" }#47#23
44#Quisque ac libero#elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non#{ "display": "14", "processor": "A16 Bionic", "storage": "512" }#32#34
45#vel turpis. Aliquam#vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros#{ "display": "13", "processor": "A16 Bionic", "storage": "512" }#43#35
46#sit amet massa.#neque. Morbi quis urna. Nunc quis arcu vel quam dignissim#{ "display": "6.1", "processor": "A16 Bionic", "storage": "512" }#31#27
47#cursus vestibulum. Mauris#massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus varius#{ "display": "6.1", "processor": "A16 Bionic", "storage": "256" }#42#12
48#sed leo. Cras#euismod ac, fermentum vel, mauris. Integer sem elit, pharetra ut,#{ "display": "13", "processor": "A16 Bionic", "storage": "256" }#35#25
