id#title#country#details
1#Suspendisse Foundation#Peru#{ "founded_year": 1961, "website": "website1.com", "main_products": ["smartphones", "tv", "appliances"] }
2#Vitae PC#Sweden#{ "founded_year": 1962, "website": "website2.com", "main_products": ["smartphones", "tv", "appliances"] }
3#Nisi Dictum Augue Corporation#Chile#{ "founded_year": 1963, "website": "website3.com", "main_products": ["smartphones", "tv", "appliances"] }
4#Purus Nullam Corp.#Vietnam#{ "founded_year": 1964, "website": "website4.com", "main_products": ["smartphones", "tv", "appliances"] }
5#Sed Libero Limited#Spain#{ "founded_year": 1965, "website": "website5.com", "main_products": ["smartphones", "tv", "appliances"] }
6#Magna Nam Ligula LLP#Netherlands#{ "founded_year": 1966, "website": "website6.com", "main_products": ["smartphones", "tv", "appliances"] }
7#Ullamcorper PC#Ireland#{ "founded_year": 1967, "website": "website7.com", "main_products": ["smartphones", "tv", "appliances"] }
8#Parturient Montes Incorporated#Russian Federation#{ "founded_year": 1968, "website": "website8.com", "main_products": ["smartphones", "tv", "appliances"] }
9#Mi Tempor Lorem Corporation#Russian Federation#{ "founded_year": 1969, "website": "website9.com", "main_products": ["smartphones", "tv", "appliances"] }
10#Aliquam Adipiscing LLP#Germany#{ "founded_year": 1960, "website": "website10.com", "main_products": ["smartphones", "tv", "appliances"] }
11#Tellus Industries#Poland#{ "founded_year": 1961, "website": "website11.com", "main_products": ["smartphones", "tv", "appliances"] }
12#Ultrices Sit PC#Brazil#{ "founded_year": 1962, "website": "website12.com", "main_products": ["smartphones", "tv", "appliances"] }
13#Et Tristique LLC#Singapore#{ "founded_year": 1963, "website": "website13.com", "main_products": ["smartphones", "tv", "appliances"] }
14#Non Justo Inc.#Australia#{ "founded_year": 1964, "website": "website14.com", "main_products": ["smartphones", "tv", "appliances"] }
15#Faucibus Lectus Corp.#United Kingdom#{ "founded_year": 1965, "website": "website15.com", "main_products": ["smartphones", "tv", "appliances"] }
16#Tellus Imperdiet Non Corporation#Peru#{ "founded_year": 1966, "website": "website16.com", "main_products": ["smartphones", "tv", "appliances"] }
17#Nunc Laoreet Inc.#Mexico#{ "founded_year": 1967, "website": "website17.com", "main_products": ["smartphones", "tv", "appliances"] }
18#Magna Et Consulting#United Kingdom#{ "founded_year": 1968, "website": "website18.com", "main_products": ["smartphones", "tv", "appliances"] }
19#Ante Dictum Associates#Singapore#{ "founded_year": 1969, "website": "website19.com", "main_products": ["smartphones", "tv", "appliances"] }
20#Phasellus Elit Pede Industries#Spain#{ "founded_year": 1960, "website": "website20.com", "main_products": ["smartphones", "tv", "appliances"] }
21#Auctor Quis Tristique Company#Germany#{ "founded_year": 1961, "website": "website21.com", "main_products": ["smartphones", "tv", "appliances"] }
22#Augue Ut Lacus PC#India#{ "founded_year": 1962, "website": "website22.com", "main_products": ["smartphones", "tv", "appliances"] }
23#Risus Odio Auctor Inc.#Germany#{ "founded_year": 1963, "website": "website23.com", "main_products": ["smartphones", "tv", "appliances"] }
24#Consequat Auctor Ltd#India#{ "founded_year": 1964, "website": "website24.com", "main_products": ["smartphones", "tv", "appliances"] }
25#Fringilla Euismod Corp.#China#{ "founded_year": 1965, "website": "website25.com", "main_products": ["smartphones", "tv", "appliances"] }
26#Neque Sed Associates#Poland#{ "founded_year": 1966, "website": "website26.com", "main_products": ["smartphones", "tv", "appliances"] }
27#Vel Lectus LLP#Austria#{ "founded_year": 1967, "website": "website27.com", "main_products": ["smartphones", "tv", "appliances"] }
28#Mus Proin Inc.#Indonesia#{ "founded_year": 1968, "website": "website28.com", "main_products": ["smartphones", "tv", "appliances"] }
29#Nam Interdum Enim LLP#Austria#{ "founded_year": 1969, "website": "website29.com", "main_products": ["smartphones", "tv", "appliances"] }
30#Aliquam Eros Turpis Ltd#Vietnam#{ "founded_year": 1960, "website": "website30.com", "main_products": ["smartphones", "tv", "appliances"] }
31#Lacinia At Inc.#Chile#{ "founded_year": 1961, "website": "website31.com", "main_products": ["smartphones", "tv", "appliances"] }
32#Dictum Placerat Institute#Peru#{ "founded_year": 1962, "website": "website32.com", "main_products": ["smartphones", "tv", "appliances"] }
33#Dui Fusce Associates#Austria#{ "founded_year": 1963, "website": "website33.com", "main_products": ["smartphones", "tv", "appliances"] }
34#Ut Incorporated#Russian Federation#{ "founded_year": 1964, "website": "website34.com", "main_products": ["smartphones", "tv", "appliances"] }
35#Vivamus Euismod Industries#Norway#{ "founded_year": 1965, "website": "website35.com", "main_products": ["smartphones", "tv", "appliances"] }
36#At Fringilla Institute#Peru#{ "founded_year": 1966, "website": "website36.com", "main_products": ["smartphones", "tv", "appliances"] }
37#Fermentum Fermentum Limited#Colombia#{ "founded_year": 1967, "website": "website37.com", "main_products": ["smartphones", "tv", "appliances"] }
38#Tristique Consulting#Ukraine#{ "founded_year": 1968, "website": "website38.com", "main_products": ["smartphones", "tv", "appliances"] }
39#Rhoncus Nullam Velit Corporation#Nigeria#{ "founded_year": 1969, "website": "website39.com", "main_products": ["smartphones", "tv", "appliances"] }
40#Arcu Vestibulum Industries#Peru#{ "founded_year": 1960, "website": "website40.com", "main_products": ["smartphones", "tv", "appliances"] }
41#In Faucibus Orci Consulting#China#{ "founded_year": 1961, "website": "website41.com", "main_products": ["smartphones", "tv", "appliances"] }
42#Ornare Corp.#Colombia#{ "founded_year": 1962, "website": "website42.com", "main_products": ["smartphones", "tv", "appliances"] }
